umbrella,final_category,agreement,flag,claude,gpt5,gemini,deepseek,grok
Hepatic Function,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Renal Function,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Hematologic Function,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Organ Function,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Cardiac Function,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
ECG Abnormalities,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Pulmonary Function,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Interstitial Lung Disease/Pneumonitis,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Blood Pressure/Hypertension,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Thrombotic Events,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Bleeding/Coagulation Disorders,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Anticoagulation Therapy,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Vascular Conditions,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Autoimmune Disease,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Active Infection,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Hepatitis B/C Status,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
HIV Status,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Tuberculosis,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY
EBV Infection,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY
Immunosuppression/Immunodeficiency,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior/Concurrent Malignancy,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Systemic Therapy,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Immunotherapy/Checkpoint Inhibitors,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Targeted Therapy,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Chemotherapy,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Anti-VEGF Therapy,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Radiotherapy,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Chemoradiation,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Adjuvant/Neoadjuvant Therapy,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Specific Prior Treatment Agents,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Prior Surgery,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Surgical Resectability/Status,PREDICTABLE_AND_NECESSARY,4/5,🟢,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Mediastinal/Lymph Node Staging,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Imaging Requirements,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE
Tumor Tissue/Biospecimen,NOT_PREDICTABLE,4/5,🟢,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
Genetic/Germline Testing,NOT_PREDICTABLE,5/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE,NOT_PREDICTABLE
Treatment-Related Toxicity,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Washout Period,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Concurrent Anti-Cancer Therapy,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Investigational Study Participation,PREDICTABLE_AND_NECESSARY,2/5,🔴,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY
Drug Hypersensitivity/Allergy,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Treatment Contraindications,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Corticosteroid Use,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Transplant History,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Live Vaccination,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Pregnancy/Lactation Status,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Contraception Requirements,NOT_PREDICTABLE,3/5,🟡,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,NOT_PREDICTABLE
Gastrointestinal Function,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Pleural/Pericardial Effusion,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Neurological/Psychiatric Conditions,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Thyroid Function,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Diabetes,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Wound Healing,PREDICTABLE_AND_NECESSARY,4/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Proteinuria,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Corneal Disease,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY
Drug Interactions,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE
Informed Consent,NOT_PREDICTABLE,4/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,NOT_PREDICTABLE
Study Compliance,NOT_PREDICTABLE,3/5,🟡,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,NOT_PREDICTABLE,NOT_PREDICTABLE
Investigator Assessment,NOT_PREDICTABLE,4/5,🟢,NOT_PREDICTABLE,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY,NOT_PREDICTABLE,NOT_PREDICTABLE
Treatment Timing,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Intercurrent Illness,PREDICTABLE_AND_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Implantable Devices,PREDICTABLE_BUT_NOT_NECESSARY,4/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Transfusion Requirements,PREDICTABLE_BUT_NOT_NECESSARY,3/5,🟡,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Locoregional Therapy Eligibility,PREDICTABLE_AND_NECESSARY,4/5,🟢,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Residency/Demographics,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
Advanced/Refractory Disease,PREDICTABLE_AND_NECESSARY,5/5,🟢,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY
Treatment Amenability,PREDICTABLE_AND_NECESSARY,3/5,🟡,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY,PREDICTABLE_AND_NECESSARY,NOT_PREDICTABLE,PREDICTABLE_AND_NECESSARY
Tumor Markers,PREDICTABLE_BUT_NOT_NECESSARY,5/5,🟢,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY,PREDICTABLE_BUT_NOT_NECESSARY
