trait,umbrella,agreement,flag,claude,gpt5,gemini,deepseek,grok
contraception,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
contraception compliance,Contraception Requirements,4/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Study Compliance
contraceptive use,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
contraceptive use compliance,Contraception Requirements,4/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Study Compliance
creatinine clearance,Renal Function,5/5,🟢,Renal Function,Renal Function,Renal Function,Renal Function,Renal Function
creatinine clearance ≥25 ml/min (cockcroft-gault),Renal Function,5/5,🟢,Renal Function,Renal Function,Renal Function,Renal Function,Renal Function
curative intent eligibility (clinical appropriateness),Treatment Amenability,5/5,🟢,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability,Treatment Amenability
denosumab use,Specific Prior Treatment Agents,3/5,🟡,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Concurrent Anti-Cancer Therapy,Prior Systemic Therapy,Specific Prior Treatment Agents
diabetes,Diabetes,5/5,🟢,Diabetes,Diabetes,Diabetes,Diabetes,Diabetes
diagnosis,Diagnosis Confirmation,5/5,🟢,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation
disease progression,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
disease progression after anti-pd-1/pd-l1,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
disease progression after neoadjuvant/adjuvant/consolidation anti-pd-1/pd-l1,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
disease progression status,Disease Progression,5/5,🟢,Disease Progression,Disease Progression,Disease Progression,Disease Progression,Disease Progression
disease recurrence timing,Disease Recurrence,5/5,🟢,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence,Disease Recurrence
drug allergy history,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
drug hypersensitivity,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
drug intolerance,Drug Hypersensitivity/Allergy,2/5,🔴,Drug Hypersensitivity/Allergy,Treatment Contraindications,Treatment-Related Toxicity,Drug Hypersensitivity/Allergy,Treatment-Related Toxicity
ebv infection,EBV Infection,5/5,🟢,EBV Infection,EBV Infection,EBV Infection,EBV Infection,EBV Infection
ecg abnormalities,ECG Abnormalities,5/5,🟢,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities
ecog ps,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
ecog performance status,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
ecog performance status 0-2,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
egfr tki treatment failure,Prior Targeted Therapy,5/5,🟢,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy,Prior Targeted Therapy
egfr mutation,EGFR Mutation Status,5/5,🟢,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status
egfr mutation status,EGFR Mutation Status,5/5,🟢,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status
egfr status,EGFR Mutation Status,5/5,🟢,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status,EGFR Mutation Status
egfr/alk status,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
echocardiogram findings,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
end-organ function,Organ Function,5/5,🟢,Organ Function,Organ Function,Organ Function,Organ Function,Organ Function
epstein-barr virus (ebv) infection,EBV Infection,5/5,🟢,EBV Infection,EBV Infection,EBV Infection,EBV Infection,EBV Infection
expected survival,Life Expectancy,5/5,🟢,Life Expectancy,Life Expectancy,Life Expectancy,Life Expectancy,Life Expectancy
extracapsular extension,Primary Tumor Characteristics,3/5,🟡,Primary Tumor Characteristics,Residual Disease,Mediastinal/Lymph Node Staging,Primary Tumor Characteristics,Primary Tumor Characteristics
female contraception compliance,Contraception Requirements,5/5,🟢,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements,Contraception Requirements
female pregnancy status,Pregnancy/Lactation Status,4/5,🟢,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,Pregnancy/Lactation Status,
genetic informed consent,Informed Consent,3/5,🟡,Informed Consent,Informed Consent,Genetic/Germline Testing,Informed Consent,Genetic/Germline Testing
germline sequencing,Genetic/Germline Testing,5/5,🟢,Genetic/Germline Testing,Genetic/Germline Testing,Genetic/Germline Testing,Genetic/Germline Testing,Genetic/Germline Testing
grade 3 active infection,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
grade ≥2 pneumonitis from prior crt,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
gross disease remaining,Residual Disease,5/5,🟢,Residual Disease,Residual Disease,Residual Disease,Residual Disease,Residual Disease
hbv infection,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
hbv status,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
hcc diagnosis,Diagnosis Confirmation,5/5,🟢,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation,Diagnosis Confirmation
hcv infection,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
hcv status,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
her2 status,HER2 Status,5/5,🟢,HER2 Status,HER2 Status,HER2 Status,HER2 Status,HER2 Status
hiv infection,HIV Status,5/5,🟢,HIV Status,HIV Status,HIV Status,HIV Status,HIV Status
hiv status,HIV Status,5/5,🟢,HIV Status,HIV Status,HIV Status,HIV Status,HIV Status
hematologic function,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
hematologic function amenable to chemo/radiation,Hematologic Function,4/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Treatment Amenability
hematological function,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
hemoglobin,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
hemoglobin level,Hematologic Function,5/5,🟢,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function,Hematologic Function
hemoptysis history,Bleeding/Coagulation Disorders,4/5,🟢,Bleeding/Coagulation Disorders,Pulmonary Function,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
hepatic disorder,Hepatic Function,5/5,🟢,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function,Hepatic Function
hepatitis b surface antigen,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
hepatitis status,Hepatitis B/C Status,5/5,🟢,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status,Hepatitis B/C Status
histology,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
histology exclusion,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
hypersensitivity,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
hypersensitivity to carboplatin or nab-paclitaxel,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
hypersensitivity to monoclonal antibodies,Drug Hypersensitivity/Allergy,5/5,🟢,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy,Drug Hypersensitivity/Allergy
ild,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
ild/pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
inr,Bleeding/Coagulation Disorders,5/5,🟢,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders,Bleeding/Coagulation Disorders
identified primary tumor and at least one nodal metastasis,Primary Tumor Characteristics,4/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Disease Stage,Primary Tumor Characteristics
idiopathic pulmonary fibrosis/pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
imaging timing,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
immune-mediated therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
immunocompromised state,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunostimulatory agents,Concurrent Anti-Cancer Therapy,2/5,🔴,Concurrent Anti-Cancer Therapy,Prior Immunotherapy/Checkpoint Inhibitors,Immunosuppression/Immunodeficiency,Prior Immunotherapy/Checkpoint Inhibitors,Concurrent Anti-Cancer Therapy
immunosuppressive medication,Immunosuppression/Immunodeficiency,4/5,🟢,Immunosuppression/Immunodeficiency,Corticosteroid Use,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
immunosuppressive therapy,Immunosuppression/Immunodeficiency,5/5,🟢,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency,Immunosuppression/Immunodeficiency
infection,Active Infection,5/5,🟢,Active Infection,Active Infection,Active Infection,Active Infection,Active Infection
inflammatory bowel disease,Autoimmune Disease,4/5,🟢,Autoimmune Disease,Gastrointestinal Function,Autoimmune Disease,Autoimmune Disease,Autoimmune Disease
informed consent,Informed Consent,5/5,🟢,Informed Consent,Informed Consent,Informed Consent,Informed Consent,Informed Consent
inoperability status,Surgical Resectability/Status,5/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
interstitial lung disease,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
interstitial lung disease/pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
investigational study participation,Investigational Study Participation,5/5,🟢,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation
investigational therapy,Investigational Study Participation,5/5,🟢,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation,Investigational Study Participation
investigator discretion,Investigator Assessment,5/5,🟢,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment
investigator judgment,Investigator Assessment,5/5,🟢,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment
investigator judgment early termination risk,Investigator Assessment,5/5,🟢,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment,Investigator Assessment
keap1 mutation,KRAS/STK11/KEAP1 Mutation Status,5/5,🟢,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status
kras mutation,KRAS/STK11/KEAP1 Mutation Status,5/5,🟢,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status,KRAS/STK11/KEAP1 Mutation Status
kaposi sarcoma/mcd in hiv,Prior/Concurrent Malignancy,4/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,HIV Status,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
known egfr/alk/other driver mutation,Actionable Genomic Alterations,5/5,🟢,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations,Actionable Genomic Alterations
known pd-l1 result,PD-L1 Expression Status,5/5,🟢,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status,PD-L1 Expression Status
lab abnormalities,Organ Function,5/5,🟢,Organ Function,Organ Function,Organ Function,Organ Function,Organ Function
left ventricular ejection fraction,Cardiac Function,5/5,🟢,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function,Cardiac Function
leptomeningeal carcinomatosis,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
life expectancy,Life Expectancy,5/5,🟢,Life Expectancy,Life Expectancy,Life Expectancy,Life Expectancy,Life Expectancy
life-threatening non-cancer illness,Intercurrent Illness,5/5,🟢,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness,Intercurrent Illness
live attenuated vaccination,Live Vaccination,5/5,🟢,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination,Live Vaccination
